0.984038228,,,,,,,,,,,,,,,,,
,,secret,,test,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,0.878995731,0.357386003,0.977665849,0.184947274,0.710474126,0.059077588,0.02222519,0.342972449,0.034988778,0.231583806,,,,,,
,,0.155832519,0.055939577,0.830159126,0.487850487,0.284539443,0.866635967,0.782159818,0.84939817,0.166579111,0.549239469,,,,,,
,,0.490000443,0.343047049,0.57312865,0.591564969,0.677329711,0.181039199,0.793479669,0.886993971,0.182742423,0.917603223,,,,,,
,,0.174349129,0.677625044,0.418655012,0.042523613,0.105811285,0.297595248,0.310417811,0.462628883,0.043757404,0.400780529,,,,,,
,,0.644504439,0.733942593,0.86348669,0.322158572,0.023089633,0.583590882,0.021228386,0.459311169,0.861763388,0.612115261,,,,,,
,,0.707499849,0.499669007,0.638212207,0.791616565,0.162459047,0.670144312,0.165404252,0.929004752,0.631241902,0.99059527,,,,,,
,,0.995701784,0.3872102,0.264605912,0.874269243,0.145352068,0.326362369,0.241488821,0.037862124,0.465011665,0.963274492,,,,,,
,,0.555599865,0.026545862,0.512971615,0.158462475,0.523412517,0.75405995,0.768497386,0.493393888,0.590982202,0.395641126,,,,,,
,,0.660419622,0.512950336,0.085603034,0.325493131,0.565137648,0.310162127,0.262329658,0.129227342,0.812963312,0.92383791,,,,,,
,,0.406623019,0.658295606,0.571379246,0.042639964,0.614455527,0.936818155,0.300492831,0.43538044,0.099582433,0.492249326,,,,,,
,,0.943061281,0.052324055,0.712130837,0.665222754,0.886836291,0.346403659,0.651936803,0.88615128,0.075528705,0.25833373,,,,,,
,,0.561889246,0.271131124,0.012556223,0.12860275,0.333229684,0.104768599,0.798427438,0.002510837,0.388314871,0.703692605,,,,,,
,,0.226247518,0.70211496,0.337875554,0.443672154,0.526264616,0.034297207,0.051809179,0.44670955,0.177959733,0.655581465,,,,,,
,,0.888276387,0.960328007,0.565173604,0.100816943,0.658219444,0.287837562,0.558676058,0.974552693,0.025381278,0.00998088,,,,,,
,,0.617100365,0.198465773,0.604554939,0.907816909,0.028896799,0.895671645,0.086049409,0.269146742,0.114338898,0.481697722,,,,,,
,,0.656968433,0.593163061,0.3054188,0.273355865,0.770154933,0.474427508,0.633330414,0.934141269,0.372474528,0.801381856,,,,,,
,,0.673219528,0.86602595,0.25766429,0.452216323,0.918301841,0.515587402,0.918816224,0.988994438,0.471717458,0.868809875,,,,,,
,,0.658406295,0.860435389,0.457301528,0.355573034,0.415889637,0.680665813,0.582534321,0.620740158,0.440446515,0.642040086,,,,,,
,,0.517615448,0.318559279,0.944277115,0.910485077,0.84522819,0.274245105,0.435603248,0.486292784,0.813575339,0.532077436,,,,,,
,,0.589876618,0.320986251,0.633536579,0.528892323,0.202072182,0.828170937,0.252620482,0.761938555,0.675232142,0.772226307,,,,,,
,,0.196077734,0.347768168,0.97982489,0.323855477,0.014233111,0.885017474,0.299548675,0.896444628,0.249395865,0.884185181,,,,,,
,,0.140037115,0.187203799,0.740405814,0.833736965,0.969216417,0.513010694,0.931899002,0.141607858,0.356391467,0.722111146,,,,,,
,,0.758827509,0.845573595,0.894119387,0.451000898,0.740200473,0.459762249,0.365421257,0.789091243,0.720985105,0.241575451,,,,,,
,,0.315550909,0.89225188,0.311202589,0.359451148,0.150262887,0.295525053,0.126127343,0.096633303,0.748202779,0.201128091,,,,,,
,,0.625281051,0.03590923,0.393275276,0.93706272,0.809966877,0.256014088,0.272202391,0.606081021,0.446261512,0.475337324,,,,,,
,,0.431772583,0.275266359,0.765121211,0.004451391,0.192392661,0.626690099,0.236598204,0.757569613,0.233731244,0.336861906,,,,,,
,,0.892606737,0.692599692,0.614020275,0.872129791,0.98252899,0.287954079,0.96117665,0.427277065,0.903862858,0.188494412,,,,,,
,,0.881396044,0.086092105,0.745400501,0.996922571,0.285637806,0.748849857,0.673932563,0.368031382,0.141142446,0.389875787,,,,,,
,,0.729017939,0.419831565,0.062049244,0.140779368,0.289170597,0.999128757,0.828339864,0.584434621,0.200139504,0.291212878,,,,,,
,,0.876174537,0.324422678,0.411812338,0.54599046,0.993874895,0.56544057,0.064255424,0.075117529,0.244637285,0.002727625,,,,,,
,,0.239324315,0.016317272,0.637068584,0.871067993,0.619320764,0.135083861,0.483998538,0.319085665,0.216531529,0.084125008,,,,,,
,,0.280809655,0.367531051,0.95473075,0.522718067,0.591891239,0.33175225,0.823823222,0.802150278,0.167255067,0.453141409,,,,,,
,,0.15089632,0.085813201,0.106371141,0.958396183,0.737863274,0.065174095,0.004967696,0.396285621,0.841110272,0.259709888,,,,,,
,,0.663346715,0.977645692,0.658106523,0.283346356,0.800924506,0.706539916,0.302182604,0.29273416,0.539352538,0.911821754,,,,,,
,,0.667335695,0.248079323,0.326120621,0.238132725,0.316394152,0.694244285,0.432891167,0.72428543,0.135066471,0.961836718,,,,,,
,,0.163894734,0.376829808,0.621117873,0.923603059,0.185645678,0.04885137,0.240966042,0.55989345,0.930836201,0.837020628,,,,,,
,,0.597612991,0.975554324,0.522576416,0.169693373,0.086133245,0.462025114,0.412857964,0.960819546,0.616601797,0.170301358,,,,,,
,,0.487184618,0.663221301,0.420055283,0.574456072,0.488338924,0.92342307,0.649807234,0.320281277,0.376661762,0.322177721,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,0.081723596,0.770414193,0.872898712,0.423935687,0.197745447,0.783782155,0.230648422,0.415281153,0.432062904,0.374813228,0.821126488,0.480543174,0.285204539,0.097013646,0.850187382
,,,0.442070923,0.937092255,0.035000576,0.075641404,0.30913501,0.072459868,0.300335921,0.916094817,0.110769002,0.002259176,0.729165065,0.641261379,0.589070756,0.133378231,0.962595697
,,,0.551984137,0.620170588,0.493968565,0.060552829,0.603533258,0.931655479,0.644682261,0.57822162,0.4252408,0.806343872,0.929108637,0.346098805,0.086834618,0.040847458,0.997733452
,,,0.011177254,0.182489641,0.5003837,0.215971976,0.392598927,0.886515995,0.093530775,0.973706318,0.40208001,0.997612392,0.987344189,0.474484699,0.907284703,0.221238878,0.609420176
,,,0.886672969,0.772342564,0.220267738,0.932154908,0.126025817,0.407837118,0.012635491,0.459846707,0.946055142,0.374877587,0.740594045,0.595183723,0.983257561,0.527002285,0.097333421
,,,0.284197603,0.946656244,0.152826591,0.009446655,0.408759286,0.754644064,0.216411807,0.105591129,0.468130918,0.189955955,0.346513122,0.295137005,0.787022036,0.117107636,0.062552254
,,,0.146558746,0.038537079,0.527412753,0.527197271,0.114241627,0.172556617,0.788199504,0.64826199,0.524789511,0.821028032,0.664661373,0.00669652,0.832089157,0.933350065,0.510656694
,,,0.588925733,0.040389828,0.984018522,0.948975335,0.411738485,0.91057638,0.990844151,0.923380293,0.141075316,0.187273999,0.470188304,0.707141598,0.420389884,0.454117156,0.999557512
,,,0.737528666,0.163015144,0.394428941,0.694638709,0.233982858,0.217805125,0.106756368,0.55268843,0.755389562,0.060836764,0.706940665,0.951111128,0.546612207,0.6121546,0.148903198
,,,0.912368286,0.131584533,0.872263073,0.965863243,0.677363839,0.746605163,0.397108469,0.77524397,0.185836276,0.988316104,0.688465356,0.642878643,0.721950985,0.323509232,0.099882456
,,,0.656503839,0.786376506,0.600705581,0.20543909,0.38257319,0.235238046,0.892812297,0.669246093,0.067280331,0.531187609,0.750220492,0.186313995,0.040409053,0.780444628,0.6595394
,,,0.412899574,0.026636809,0.844039144,0.347382443,0.727370909,0.092029602,0.961067315,0.293435395,0.243920831,0.362271971,0.804713072,0.94803809,0.448265876,0.294696792,0.380984897
,,,0.298919448,0.641739412,0.220580229,0.75144646,0.312668854,0.351819707,0.394808149,0.959283865,0.045022649,0.368879147,0.145553265,0.89320101,0.492759427,0.199933615,0.455360086
,,,0.139248061,0.438993158,0.40502755,0.508028154,0.821301431,0.480765918,0.978981385,0.661574985,0.006935602,0.368619077,0.651006964,0.96856682,0.690249246,0.460953311,0.89761639
,,,0.896356906,0.495248848,0.744473736,0.092728219,0.96829007,0.90848223,0.528118849,0.989776973,0.177551193,0.39917015,0.654054116,0.761993436,0.946880371,0.656343477,0.805840994
,,,0.82712189,0.435253454,0.149072532,0.751796232,0.866636858,0.720373464,0.115140604,0.70487181,0.818221403,0.396972165,0.351145625,0.950302223,0.734126641,0.033294878,0.311455485
,,,0.808447784,0.609968731,0.50736061,0.40660652,0.835923245,0.514263548,0.36263349,0.432514312,0.120996185,0.191400551,0.558556218,0.886449368,0.274034683,0.084429775,0.584299295
,,,0.915217331,0.548521885,0.249364695,0.766688599,0.929175987,0.068663643,0.573386244,0.802284678,0.423059848,0.332861803,0.332598769,0.353473305,0.032255464,0.55476828,0.178605967
,,,0.543515588,0.676157324,0.668575419,0.184255916,0.545318858,0.835590764,0.870286751,0.011892287,0.879896567,0.827073304,0.500041556,0.724457977,0.228674012,0.366894165,0.299967755
,,,0.675797771,0.060802427,0.63503808,0.92244302,0.008105567,0.986801997,0.629395012,0.633542864,0.514976691,0.910313087,0.631731588,0.836151597,0.606040304,0.424401219,0.434513134
,,,0.889430851,0.285483631,0.361858085,0.671917378,0.348522874,0.16530614,0.623537667,0.221227386,0.668477712,0.437558516,0.619822638,0.854576006,0.649125523,0.670448289,0.750066775
,,,0.399857434,0.236474253,0.441870346,0.667233161,0.933901598,0.859579804,0.831866562,0.375174654,0.999810612,0.862805069,0.253440513,0.546907068,0.156028422,0.13226898,0.914880428
,,,0.089774419,0.252840732,0.825069984,0.246566347,0.140789265,0.332932193,0.470760467,0.592202505,0.024742452,0.081611353,0.617525948,0.140729028,0.021967403,0.985440854,0.053289805
,,,0.463367889,0.896368748,0.617490994,0.148466324,0.368226686,0.448785847,0.602770787,0.71635468,0.558249309,0.430699755,0.587879963,0.488127712,0.571444689,0.480403666,0.461428982
,,,0.552163519,0.358134262,0.985865689,0.725917098,0.200263939,0.465979427,0.796436135,0.262327084,0.343946786,0.6767246,0.160819634,0.740893693,0.615409816,0.999572656,0.436442174
,,,0.251733821,0.983335904,0.866181151,0.368594816,0.329219725,0.831706366,0.33490044,0.845031236,0.526031758,0.757167142,0.309130597,0.897484086,0.847487347,0.935378641,0.54484455
,,,0.365143742,0.021208499,0.539947313,0.874901317,0.526226936,0.080161395,0.482842896,0.837843893,0.586771203,0.261122509,0.639120071,0.255838014,0.55519905,0.057102991,0.668123252
,,,0.677850059,0.905202388,0.169212969,0.176734476,0.249530144,0.954949976,0.303778718,0.609169737,0.453668349,0.708056589,0.493745451,0.333010962,0.115025761,0.384848396,0.677033546
,,,0.060106908,0.825299671,0.405178865,0.465741561,0.510760156,0.663531121,0.451447622,0.197697049,0.990818415,0.677889483,0.179527234,0.011578509,0.365295026,0.011479809,0.143495992
,,,0.711945493,0.129645925,0.256527065,0.837897909,0.900185055,0.01578397,0.175414427,0.272155643,0.855576923,0.158495395,0.919818258,0.669803442,0.559326205,0.172270613,0.096006239
,,,0.535222829,0.48928492,0.230506343,0.623546583,0.440352206,0.032137146,0.422601825,0.436178429,0.85355871,0.418046246,0.785540839,0.312502515,0.68178804,0.172173427,0.166999575
